Cliente,Recurrencia Digital
520336047,Si
500700008,Si
520056452,Si
520214083,Si
500401014,Si
520021382,Si
520063159,Si
520094368,Si
1928977513,Si
210036876,Si
220258531,Si
220276846,Si
500208464,Si
500507626,Si
500704885,Si
504300813,Si
504301343,Si
510062252,Si
510076873,Si
520189954,Si
1921000786,Si
1950022143,Si
1950068468,Si
220035406,Si
500204533,Si
500603224,Si
500604325,Si
500604326,Si
500800698,Si
500803267,Si
500803293,Si
500803294,Si
501303332,Si
501405163,Si
501802693,Si
510004651,Si
510030102,Si
510045410,Si
510104349,Si
520028503,Si
520031551,Si
520057980,Si
520068198,Si
520135206,Si
520229247,Si
520282933,Si
520327320,Si
520351781,Si
1910031561,Si
1930001163,Si
1930046843,Si
1931004818,Si
1932002011,Si
1950005656,Si
1950065556,Si
200901269,Si
205011020,Si
205026051,Si
205026169,Si
206719945,Si
210054908,Si
210073992,Si
220007001,Si
220156889,Si
500402895,Si
500410455,Si
500602661,Si
500603065,Si
500701968,Si
500704498,Si
500706159,Si
500802696,Si
504300153,Si
505106668,Si
510004728,Si
510008506,Si
510018272,Si
510037671,Si
510073621,Si
510123065,Si
520081055,Si
520086589,Si
520115182,Si
520147269,Si
520256095,Si
520275637,Si
520276393,Si
520283779,Si
520383968,Si
1910017954,Si
1910031946,Si
1920109960,Si
1920110495,Si
1921024816,Si
1926001702,Si
1926001764,Si
1926023072,Si
1928001026,Si
1928006082,Si
1928975524,Si
1928980247,Si
1930002968,Si
1930056091,Si
1930059640,Si
1930059856,Si
1931122591,Si
1932017252,Si
1944010139,Si
1944014544,Si
1950016432,Si
1950020922,Si
1950025630,Si
1950044788,Si
1950046734,Si
1950053936,Si
1950063991,Si
1950066877,Si
1950069521,Si
1950075232,Si
1950079887,Si
205003231,Si
205008130,Si
205022176,Si
210043724,Si
210088353,Si
220088522,Si
220300954,Si
500208643,Si
500209243,Si
500502853,Si
500805798,Si
501300382,Si
501301143,Si
501502707,Si
505104344,Si
510003548,Si
510058183,Si
510062103,Si
510077350,Si
510081648,Si
510083356,Si
510103233,Si
520001442,Si
520006553,Si
520017123,Si
520038281,Si
520067061,Si
520071275,Si
520139659,Si
520219163,Si
520254098,Si
520290913,Si
520310858,Si
1910005670,Si
1910009169,Si
1910027452,Si
1910031358,Si
1910031715,Si
1910033258,Si
1920102544,Si
1920103351,Si
1920104041,Si
1920104540,Si
1921000380,Si
1921018966,Si
1921025200,Si
1921025629,Si
1925030705,Si
1925033595,Si
1926012167,Si
1927005042,Si
1927013106,Si
1928007518,Si
1928977270,Si
1928979876,Si
1930006652,Si
1930054307,Si
1930055248,Si
1930058610,Si
1931000920,Si
1931002169,Si
1931006295,Si
1931006618,Si
1931111861,Si
1931116027,Si
1931121200,Si
1931121995,Si
1931123762,Si
1931125209,Si
1932011957,Si
1944002677,Si
1950006457,Si
1950009248,Si
1950026367,Si
1950042532,Si
1950045978,Si
1950051020,Si
1950060267,Si
1950060969,Si
1950066231,Si
1950073155,Si
1950077246,Si
1950077433,Si
1950085822,Si
205006889,Si
205011283,Si
205011515,Si
205032048,Si
205035607,Si
205250050,Si
206701685,Si
210054567,Si
210071334,Si
210126065,Si
220069945,Si
500200494,Si
500401107,Si
500404651,Si
500604836,Si
500701874,Si
501205396,Si
501404678,Si
505103895,Si
505105039,Si
505105084,Si
505108251,Si
505109753,Si
510009650,Si
510010960,Si
510021716,Si
510025331,Si
510034017,Si
510039196,Si
510081076,Si
520000580,Si
520005025,Si
520079394,Si
520129203,Si
520142917,Si
520169447,Si
520197651,Si
520216444,Si
520268011,Si
520315335,Si
520321067,Si
520331893,Si
520337615,Si
520368989,Si
520379705,Si
520386186,Si
520386764,Si
1910005665,Si
1910010289,Si
1910026327,Si
1910029774,Si
1910031422,Si
1910031469,Si
1910031605,Si
1910031819,Si
1910033118,Si
1910033343,Si
1917002305,Si
1920000009,Si
1920000085,Si
1920009185,Si
1920114400,Si
1921004539,Si
1921019406,Si
1921022433,Si
1921022844,Si
1921025863,Si
1924008775,Si
1925002686,Si
1925034638,Si
1927000989,Si
1927003341,Si
1927013582,Si
1927014480,Si
1928000373,Si
1928975164,Si
1930004316,Si
1930055249,Si
1930062188,Si
1931003524,Si
1931004880,Si
1932000078,Si
1932015621,Si
1944013394,Si
1950002800,Si
1950002893,Si
1950011220,Si
1950013225,Si
1950020136,Si
1950020861,Si
1950029445,Si
1950035044,Si
1950035359,Si
1950044585,Si
1950046451,Si
1950050236,Si
1950053891,Si
1950057939,Si
1950064255,Si
1950064927,Si
1950069272,Si
1950071486,Si
1950072730,Si
1950075942,Si
1950085871,Si
205005190,Si
205012138,Si
205027016,Si
205032695,Si
205503132,Si
206003730,Si
206701710,Si
210049058,Si
220016981,Si
220041999,Si
220067322,Si
220096351,Si
220178550,Si
220178748,Si
220204883,Si
220233683,Si
500202455,Si
500203664,Si
500502635,Si
500504055,Si
500603295,Si
501201086,Si
501201580,Si
501201892,Si
501206912,Si
501206984,Si
501208667,Si
501209084,Si
501301140,Si
501301512,Si
501400560,Si
501800175,Si
501810555,Si
504301101,Si
505106445,Si
505106525,Si
510003540,Si
510063715,Si
510105289,Si
510111528,Si
510111742,Si
510118454,Si
510135616,Si
510146557,Si
510153132,Si
520009141,Si
520020473,Si
520028704,Si
520049821,Si
520051919,Si
520085734,Si
520085792,Si
520100282,Si
